team_id,gf,ga,comp,date
PAR,2,1,friendly,2025-11-18
PAR,1,2,friendly,2026-03-31
POR,1,2,friendly,2024-06-08
POR,2,1,competitive,2024-06-18
POR,3,0,competitive,2024-06-22
POR,0,0,competitive,2024-07-05
POR,2,1,competitive,2024-09-05
POR,2,1,competitive,2024-09-08
POR,0,0,competitive,2024-10-15
POR,1,1,competitive,2024-11-18
POR,2,1,competitive,2025-06-04
POR,2,2,competitive,2025-06-08
POR,0,0,friendly,2026-03-28
POR,2,0,friendly,2026-03-31
QAT,1,0,competitive,2023-07-02
QAT,0,4,competitive,2023-07-08
QAT,0,0,friendly,2023-10-13
QAT,1,2,friendly,2024-01-05
QAT,1,1,competitive,2024-02-03
QAT,3,2,competitive,2024-02-07
QAT,3,1,competitive,2024-02-10
QAT,1,4,qualifier,2024-10-15
QAT,3,2,qualifier,2024-11-14
QAT,1,0,qualifier,2025-06-05
QAT,0,3,qualifier,2025-06-10
QAT,0,3,competitive,2025-12-07
RSA,1,2,qualifier,2022-06-09
RSA,2,1,qualifier,2023-06-17
RSA,1,0,friendly,2023-09-12
RSA,1,1,friendly,2023-10-17
RSA,0,0,competitive,2024-01-24
RSA,2,0,competitive,2024-01-30
RSA,0,0,competitive,2024-02-03
RSA,0,0,competitive,2024-02-10
RSA,3,3,competitive,2024-03-26
RSA,0,1,competitive,2025-12-26
RSA,1,1,friendly,2026-03-27
RSA,1,2,friendly,2026-03-31
SCO,1,4,friendly,2023-10-17
SCO,3,3,qualifier,2023-11-19
SCO,0,4,friendly,2024-03-22
SCO,1,5,competitive,2024-06-14
SCO,1,1,competitive,2024-06-19
SCO,1,2,competitive,2024-09-08
SCO,1,2,competitive,2024-10-12
SCO,0,0,competitive,2024-10-15
SCO,1,0,competitive,2024-11-15
SCO,0,1,friendly,2026-03-28
SCO,0,1,friendly,2026-03-31
SCO,4,1,friendly,2026-05-30
SEN,0,3,competitive,2022-12-04
SEN,4,2,friendly,2023-06-20
SEN,0,1,friendly,2023-09-12
SEN,1,1,competitive,2024-01-29
SEN,1,1,qualifier,2024-06-06
SEN,3,1,friendly,2025-06-10
SEN,3,2,qualifier,2025-09-09
SEN,0,2,friendly,2025-11-15
SEN,1,1,competitive,2025-12-27
SEN,1,0,competitive,2026-01-14
SEN,0,3,competitive,2026-01-18
SEN,2,3,friendly,2026-05-31
SUI,1,1,competitive,2024-06-23
SUI,1,1,competitive,2024-07-06
SUI,1,4,competitive,2024-09-08
SUI,2,3,competitive,2024-11-18
SUI,4,2,friendly,2025-06-07
SUI,4,0,friendly,2025-06-10
SUI,2,0,qualifier,2025-10-10
SUI,4,1,qualifier,2025-11-15
SUI,3,4,friendly,2026-03-27
SUI,0,0,friendly,2026-03-31
SUI,4,1,friendly,2026-05-31
SUI,1,1,friendly,2026-06-06
SWE,2,1,friendly,2022-11-16
SWE,2,0,friendly,2022-11-19
SWE,0,3,qualifier,2023-03-24
SWE,4,1,friendly,2023-06-16
SWE,0,2,qualifier,2023-06-20
SWE,1,3,qualifier,2023-09-12
SWE,1,1,qualifier,2023-10-16
SWE,2,5,friendly,2024-03-21
SWE,4,3,friendly,2025-06-10
SWE,0,2,qualifier,2025-10-10
SWE,1,4,qualifier,2025-11-15
SWE,1,3,friendly,2026-06-01
TUN,2,0,friendly,2024-01-10
TUN,0,0,competitive,2024-01-24
TUN,0,0,competitive,2024-03-23
TUN,0,0,competitive,2024-03-26
TUN,0,2,friendly,2025-06-06
TUN,3,2,friendly,2025-11-14
TUN,1,1,friendly,2025-11-18
TUN,3,0,competitive,2025-12-07
TUN,1,0,friendly,2026-03-28
TUN,0,0,friendly,2026-03-31
TUN,0,1,friendly,2026-06-01
TUN,0,5,friendly,2026-06-06
TUR,2,4,friendly,2023-09-12
TUR,1,0,qualifier,2023-10-12
TUR,3,2,friendly,2023-11-18
TUR,1,6,friendly,2024-03-26
TUR,0,3,competitive,2024-06-22
TUR,2,1,competitive,2024-06-26
TUR,2,1,competitive,2024-07-02
TUR,1,2,competitive,2024-07-06
TUR,2,1,friendly,2025-06-07
TUR,0,1,friendly,2025-06-10
TUR,0,6,qualifier,2025-09-07
TUR,2,2,qualifier,2025-11-18
URU,2,2,competitive,2024-07-13
URU,0,0,qualifier,2024-09-06
URU,0,0,qualifier,2024-10-15
URU,3,2,qualifier,2024-11-15
URU,1,1,qualifier,2024-11-19
URU,0,1,qualifier,2025-03-21
URU,0,2,qualifier,2025-06-05
URU,2,1,friendly,2025-10-13
URU,0,0,friendly,2025-11-15
URU,1,5,friendly,2025-11-18
URU,1,1,friendly,2026-03-27
URU,0,0,friendly,2026-03-31
USA,2,1,competitive,2025-06-22
USA,1,2,competitive,2025-07-06
USA,0,2,friendly,2025-09-06
USA,2,0,friendly,2025-09-09
USA,1,1,friendly,2025-10-10
USA,2,1,friendly,2025-10-14
USA,2,1,friendly,2025-11-15
USA,5,1,friendly,2025-11-18
USA,2,5,friendly,2026-03-28
USA,0,2,friendly,2026-03-31
USA,3,2,friendly,2026-05-31
USA,1,2,friendly,2026-06-06
UZB,1,1,competitive,2024-01-23
UZB,1,1,competitive,2024-02-03
UZB,0,0,qualifier,2024-06-11
UZB,0,0,qualifier,2024-10-10
UZB,2,3,qualifier,2024-11-14
UZB,0,0,friendly,2025-01-22
UZB,2,2,qualifier,2025-03-25
UZB,3,0,qualifier,2025-06-10
UZB,1,2,friendly,2025-10-13
UZB,2,0,competitive,2025-11-14
UZB,0,0,competitive,2025-11-18
UZB,0,2,friendly,2026-06-01
